8e-06 0.1 1 0.0013904 0.05 0.07 
24683.9 3.55606e-05 0.329862 5.77061 0.0105682 0.30596 0.192133 
477.161 7.51765e-05 0.815573 9.61288 0.00583202 0.16919 0.312942 
180.602 2.66992e-05 0.0755582 9.99892 0.00827072 0.254138 0.24673 
3484.07 4.07576e-05 0.251598 6.67361 0.00601503 0.205859 0.341856 
684.003 3.21181e-05 0.219236 2.17242 0.0107133 0.376234 0.315518 
31809.2 3.96822e-05 0.523856 5.48077 0.00676892 0.16837 0.205947 
214.955 3.43473e-05 0.547368 9.0193 0.00789366 0.0880511 0.520347 
772.901 5.18917e-05 0.782474 2.66526 0.00707828 0.213122 0.412289 
14009.8 2.64598e-05 0.394273 2.42473 0.00604616 0.335145 0.350213 
686.056 3.06031e-05 0.336162 4.40097 0.00494968 0.353881 0.377701 
789.262 3.35507e-05 0.683829 7.52318 0.00537122 0.179218 0.294804 
7083.89 6.28979e-05 0.476879 1.00445 0.00914259 0.248876 0.236129 
830.15 1.14123e-05 0.399798 2.05952 0.00715795 0.415497 0.360867 
2688.34 5.62808e-05 0.491543 7.02639 0.00645962 0.261505 0.359393 
8977.27 6.10507e-05 0.778034 8.79924 0.0100141 0.0251072 0.222087 
1146.72 5.93484e-05 0.723239 4.55635 0.00310048 0.0401707 0.0258455 
790.863 1.52156e-05 0.01763 1.57975 0.000142842 0.412284 0.0304816 
302.894 9.17819e-06 0.107324 7.3683 0.00500845 0.0320458 0.105482 
39328 6.76973e-05 0.31792 4.70005 0.00851724 0.23572 0.363819 
287.938 2.16401e-05 0.291958 4.60978 0.00852141 0.395448 0.258774 
312.428 5.46694e-05 0.935545 1.88632 0.0135711 0.174704 0.647482 
12431.1 4.34758e-05 0.534657 8.23054 0.00743698 0.117103 0.45933 
10404.1 6.0527e-05 0.331039 8.79983 0.000152136 0.221524 0.161482 
612.63 1.25467e-05 0.372295 8.15475 0.0131595 0.294074 0.279908 
6572.32 5.15268e-05 0.366169 4.64419 0.00110478 0.35344 0.38665 
721.526 3.25032e-05 0.637884 3.78388 0.00872929 0.300009 0.307133 
201.572 2.08005e-05 0.353754 1.21625 0.00551439 0.424245 0.342438 
6153.13 5.10479e-05 0.426156 4.28069 0.00773753 0.214392 0.285467 
5.97475 8.43419e-06 0.43018 5.87908 0.00591133 0.470943 0.0765757 
2205.12 5.38678e-05 0.623558 4.59533 0.00379609 0.112601 0.0794536 
1579.56 1.51988e-05 0.766792 3.52477 0.0100707 0.356662 0.459749 
3006.89 3.38102e-05 0.677663 7.49879 0.00536993 0.178443 0.294989 
16425.4 3.61244e-05 0.743027 7.55084 0.00313489 0.293537 0.184571 
536.181 3.02908e-05 0.216303 1.30448 0.00999611 0.278854 0.353301 
136.166 2.63475e-05 0.440165 8.85085 0.00671055 0.102843 0.548167 
5001.81 3.91681e-05 0.544436 5.01263 0.00744396 0.354116 0.319662 
216.936 9.07463e-06 0.588997 9.58355 0.0117275 0.232958 0.311344 
1088.28 6.45547e-05 0.871191 8.94408 0.00190485 0.384683 0.0519458 
559.822 1.61163e-05 0.555946 6.27981 0.00475298 0.405435 0.214335 
2690.39 5.10874e-05 0.45676 6.48328 0.00615591 0.280188 0.359402 
2789.51 3.50324e-05 0.44971 5.74848 0.00336794 0.343203 0.306497 
2984.58 2.87222e-05 0.769861 3.13502 0.00723608 0.214977 0.0134697 
43079.4 5.50001e-05 0.31628 3.94103 0.00451104 0.35051 0.198766 
2675.95 1.54976e-05 0.739189 0.350207 0.0119166 0.324918 0.529819 
2509.22 3.79082e-05 0.362922 3.62238 0.00581787 0.154995 0.288112 
2303.3 2.12027e-06 0.648741 6.36058 0.0111905 0.431041 0.557561 
8391.61 6.53236e-05 0.846582 6.7645 0.00372638 0.388593 0.210815 
281.139 1.20217e-05 0.609827 9.8751 0.00127071 0.307516 0.330741 
329.472 5.02204e-06 0.708238 4.59608 0.00203955 0.132886 0.433839 
256.557 3.02233e-05 0.165924 0.556691 0.0104995 0.286172 0.36238 
